,Date,Lockdown_index
563,2021-08-08,0.22568719611021065
564,2021-08-09,0.22568719611021065
565,2021-08-10,0.22568719611021065
566,2021-08-11,0.22568719611021065
567,2021-08-12,0.22568719611021065
568,2021-08-13,0.22568719611021065
569,2021-08-14,0.22568719611021065
570,2021-08-15,0.22568719611021065
571,2021-08-16,0.22568719611021065
572,2021-08-17,0.22568719611021065
573,2021-08-18,0.22568719611021065
