,Date,Compulsory_Mask,Eat_In_Ban,Entry_Recording,Lockdown,Sch_Closure,Gathering_Max,Mall_Distancing,Recreation_0.0,Recreation_0.25,Recreation_0.5,Recreation_0.65,Recreation_1.0,Workplace_Closure_0.0,Workplace_Closure_0.33,Workplace_Closure_0.5,Workplace_Closure_0.75,Workplace_Closure_1.0,Worship_0.0,Worship_0.25,Worship_0.5,Worship_0.65,Worship_1.0
195,2020-08-05,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
196,2020-08-06,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
197,2020-08-07,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
198,2020-08-08,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
199,2020-08-09,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
200,2020-08-10,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
201,2020-08-11,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
202,2020-08-12,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
203,2020-08-13,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
204,2020-08-14,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
205,2020-08-15,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
206,2020-08-16,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
207,2020-08-17,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
208,2020-08-18,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
209,2020-08-19,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
210,2020-08-20,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
211,2020-08-21,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
212,2020-08-22,1,0,1,0,0,0.03125,0.3125,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
