,Date,Eat_In_Ban,Lockdown,Sch_Closure,Gathering_Max,Mall_Distancing,Recreation,Workplace_Closure,Workplace_Gathering,Worship
296,14/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
297,15/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
298,16/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
299,17/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
300,18/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
301,19/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
302,20/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
303,21/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
304,22/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
305,23/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
306,24/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
307,25/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
308,26/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
309,27/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
310,28/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
311,29/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
312,30/11/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
313,1/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
314,2/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
315,3/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
316,4/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
317,5/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
318,6/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
319,7/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
320,8/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
321,9/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
322,10/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
323,11/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
324,12/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
325,13/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
326,14/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
327,15/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
328,16/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
329,17/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
330,18/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
331,19/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
332,20/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
333,21/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
334,22/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
335,23/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
336,24/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
337,25/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
338,26/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
339,27/12/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
340,28/12/2020,0,0,0,0.00390625,0.25,0.35,0.25,0.00390625,0.35
341,29/12/2020,0,0,0,0.00390625,0.25,0.35,0.25,0.00390625,0.35
342,30/12/2020,0,0,0,0.00390625,0.25,0.35,0.25,0.00390625,0.35
343,31/12/2020,0,0,0,0.00390625,0.25,0.35,0.25,0.00390625,0.35
344,1/1/2021,0,0,0,0.00390625,0.25,0.35,0.25,0.00390625,0.35
345,2/1/2021,0,0,0,0.00390625,0.25,0.35,0.25,0.00390625,0.35
346,3/1/2021,0,0,0,0.00390625,0.25,0.35,0.25,0.00390625,0.35
347,4/1/2021,0,0,0,0.00390625,0.25,0.35,0.25,0.00390625,0.35
348,5/1/2021,0,0,0,0.00390625,0.25,0.35,0.25,0.00390625,0.35
