,Date,Lockdown,Sch_Closure,Gathering_Max,Mall_Distancing,Recreation,Workplace_Closure,Workplace_Gathering,Worship,Dine_in_Max
162,2020-07-03,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
163,2020-07-04,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
164,2020-07-05,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
165,2020-07-06,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
166,2020-07-07,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
167,2020-07-08,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
168,2020-07-09,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
169,2020-07-10,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
170,2020-07-11,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
171,2020-07-12,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
172,2020-07-13,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
173,2020-07-14,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
174,2020-07-15,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
175,2020-07-16,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
176,2020-07-17,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
177,2020-07-18,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
178,2020-07-19,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
179,2020-07-20,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
180,2020-07-21,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
181,2020-07-22,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
182,2020-07-23,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
183,2020-07-24,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
184,2020-07-25,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
185,2020-07-26,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
186,2020-07-27,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
187,2020-07-28,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
188,2020-07-29,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
189,2020-07-30,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
190,2020-07-31,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
191,2020-08-01,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
192,2020-08-02,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
193,2020-08-03,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
194,2020-08-04,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
195,2020-08-05,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
196,2020-08-06,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
197,2020-08-07,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
198,2020-08-08,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
199,2020-08-09,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
200,2020-08-10,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
201,2020-08-11,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
202,2020-08-12,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
203,2020-08-13,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
204,2020-08-14,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
205,2020-08-15,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
206,2020-08-16,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
207,2020-08-17,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
208,2020-08-18,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
209,2020-08-19,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
210,2020-08-20,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
211,2020-08-21,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
212,2020-08-22,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
213,2020-08-23,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
214,2020-08-24,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
215,2020-08-25,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
216,2020-08-26,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
217,2020-08-27,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
218,2020-08-28,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
219,2020-08-29,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
220,2020-08-30,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
221,2020-08-31,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
222,2020-09-01,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
223,2020-09-02,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
224,2020-09-03,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
225,2020-09-04,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
226,2020-09-05,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
227,2020-09-06,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
228,2020-09-07,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
229,2020-09-08,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
230,2020-09-09,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
231,2020-09-10,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
